2024-01-31 21:49:45,584 INFO    MainThread:71988 [wandb_setup.py:_flush():76] Current SDK version is 0.16.2
2024-01-31 21:49:45,588 INFO    MainThread:71988 [wandb_setup.py:_flush():76] Configure stats pid to 71988
2024-01-31 21:49:45,588 INFO    MainThread:71988 [wandb_setup.py:_flush():76] Loading settings from C:\Users\tomda\.config\wandb\settings
2024-01-31 21:49:45,588 INFO    MainThread:71988 [wandb_setup.py:_flush():76] Loading settings from C:\Users\tomda\Desktop\symmetry_learning\wandb\settings
2024-01-31 21:49:45,588 INFO    MainThread:71988 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-01-31 21:49:45,588 INFO    MainThread:71988 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-01-31 21:49:45,598 INFO    MainThread:71988 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'symmetry_shift_runner.py', 'program_abspath': 'C:\\Users\\tomda\\Desktop\\symmetry_learning\\symmetry_shift_runner.py', 'program': 'C:\\Users\\tomda\\Desktop\\symmetry_learning\\symmetry_shift_runner.py'}
2024-01-31 21:49:45,598 INFO    MainThread:71988 [wandb_init.py:_log_setup():526] Logging user logs to C:\Users\tomda\Desktop\symmetry_learning\wandb\run-20240131_214945-uio864ac\logs\debug.log
2024-01-31 21:49:45,598 INFO    MainThread:71988 [wandb_init.py:_log_setup():527] Logging internal logs to C:\Users\tomda\Desktop\symmetry_learning\wandb\run-20240131_214945-uio864ac\logs\debug-internal.log
2024-01-31 21:49:45,598 INFO    MainThread:71988 [wandb_init.py:init():566] calling init triggers
2024-01-31 21:49:45,598 INFO    MainThread:71988 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-01-31 21:49:45,598 INFO    MainThread:71988 [wandb_init.py:init():616] starting backend
2024-01-31 21:49:45,598 INFO    MainThread:71988 [wandb_init.py:init():620] setting up manager
2024-01-31 21:49:45,598 INFO    MainThread:71988 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-01-31 21:49:45,604 INFO    MainThread:71988 [wandb_init.py:init():628] backend started and connected
2024-01-31 21:49:45,609 INFO    MainThread:71988 [wandb_init.py:init():720] updated telemetry
2024-01-31 21:49:45,655 INFO    MainThread:71988 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-01-31 21:49:46,338 INFO    MainThread:71988 [wandb_run.py:_on_init():2254] communicating current version
2024-01-31 21:49:46,949 INFO    MainThread:71988 [wandb_run.py:_on_init():2263] got version response 
2024-01-31 21:49:46,949 INFO    MainThread:71988 [wandb_init.py:init():804] starting run threads in backend
2024-01-31 21:49:58,318 INFO    MainThread:71988 [wandb_run.py:_console_start():2233] atexit reg
2024-01-31 21:49:58,318 INFO    MainThread:71988 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-01-31 21:49:58,318 INFO    MainThread:71988 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-01-31 21:49:58,318 INFO    MainThread:71988 [wandb_run.py:_redirect():2178] Redirects installed.
2024-01-31 21:49:58,318 INFO    MainThread:71988 [wandb_init.py:init():847] run started, returning control to user process
2024-01-31 21:50:31,197 WARNING MsgRouterThr:71988 [router.py:message_loop():77] message_loop has been closed
